,Group test,Case,Total value,Total weight,Runtime,Optimal
0,00Uncorrelated,n00050_R01000_s000,20995,14721,0,1
1,00Uncorrelated,n00100_R01000_s000,46537,22519,0,1
2,00Uncorrelated,n00200_R01000_s000,84317,50302,0,1
3,00Uncorrelated,n00500_R01000_s000,207992,118693,0,1
4,00Uncorrelated,n01000_R01000_s000,400811,252480,0.000997066,1
5,01WeaklyCorrelated,n00050_R01000_s000,15768,14232,0.000996828,1
6,01WeaklyCorrelated,n00100_R01000_s000,31064,29013,0,1
7,01WeaklyCorrelated,n00200_R01000_s000,56976,51563,0,1
8,01WeaklyCorrelated,n00500_R01000_s000,139258,127276,0.000988483,1
9,01WeaklyCorrelated,n01000_R01000_s000,273052,245972,0.002991915,1
10,02StronglyCorrelated,n00050_R01000_s000,17539,14239,0.015996218,1
11,02StronglyCorrelated,n00100_R01000_s000,35617,29017,0.115659952,1
12,02StronglyCorrelated,n00200_R01000_s000,65363,51563,177.8652041,1
13,02StronglyCorrelated,n00500_R01000_s000,162178,127278,180.0439534,0
14,02StronglyCorrelated,n01000_R01000_s000,316372,245972,180.0744352,0
15,03InverseStronglyCorrelated,n00050_R01000_s000,14914,16714,1.1660676,1
16,03InverseStronglyCorrelated,n00100_R01000_s000,30468,33968,0.001945019,1
17,03InverseStronglyCorrelated,n00200_R01000_s000,54964,61464,0.006982565,1
18,03InverseStronglyCorrelated,n00500_R01000_s000,136031,152031,180.0629754,0
19,03InverseStronglyCorrelated,n01000_R01000_s000,263977,295477,180.0674164,0
20,04AlmostStronglyCorrelated,n00050_R01000_s000,17556,14238,0.007980585,1
21,04AlmostStronglyCorrelated,n00100_R01000_s000,35611,29016,0.030918598,1
22,04AlmostStronglyCorrelated,n00200_R01000_s000,65385,51563,180.0025425,0
23,04AlmostStronglyCorrelated,n00500_R01000_s000,162154,127278,180.0020773,0
24,04AlmostStronglyCorrelated,n01000_R01000_s000,316415,245972,0.155789614,1
25,05SubsetSum,n00050_R01000_s000,14239,14239,0,1
26,05SubsetSum,n00100_R01000_s000,29017,29017,0,1
27,05SubsetSum,n00200_R01000_s000,51563,51563,0,1
28,05SubsetSum,n00500_R01000_s000,127278,127278,0,1
29,05SubsetSum,n01000_R01000_s000,245972,245972,0.001000643,1
30,06UncorrelatedWithSimilarWeights,n00050_R01000_s000,19676,2401482,0.027925014,1
31,06UncorrelatedWithSimilarWeights,n00100_R01000_s000,39791,4902253,4.633817434,1
32,06UncorrelatedWithSimilarWeights,n00200_R01000_s000,75678,9904900,0,1
33,06UncorrelatedWithSimilarWeights,n00500_R01000_s000,189769,24712055,180.0309796,0
34,06UncorrelatedWithSimilarWeights,n01000_R01000_s000,371246,49525319,0.040738106,1
35,07SpannerUncorrelated,n00050_R01000_s000,13472,4569,0.002990484,1
36,07SpannerUncorrelated,n00100_R01000_s000,24228,8748,180.0188913,0
37,07SpannerUncorrelated,n00200_R01000_s000,47836,17274,180.016444,0
38,07SpannerUncorrelated,n00500_R01000_s000,114616,42898,180.0179212,0
39,07SpannerUncorrelated,n01000_R01000_s000,228624,84656,180.0152628,0
40,08SpannerWeaklyCorrelated,n00050_R01000_s000,10354,11452,1.264650106,1
41,08SpannerWeaklyCorrelated,n00100_R01000_s000,20550,20824,0,1
42,08SpannerWeaklyCorrelated,n00200_R01000_s000,40575,41116,13.74146938,1
43,08SpannerWeaklyCorrelated,n00500_R01000_s000,98713,100076,180.0562935,0
44,08SpannerWeaklyCorrelated,n01000_R01000_s000,196050,198664,180.0360215,0
45,09SpannerStronglyCorrelated,n00050_R01000_s000,28440,11540,180.0185401,0
46,09SpannerStronglyCorrelated,n00100_R01000_s000,51656,20956,9.410467625,1
47,09SpannerStronglyCorrelated,n00200_R01000_s000,101888,41288,180.0355358,0
48,09SpannerStronglyCorrelated,n00500_R01000_s000,245128,99928,180.065763,0
49,09SpannerStronglyCorrelated,n01000_R01000_s000,488672,198772,180.0332077,0
50,10MultipleStronglyCorrelated,n00050_R01000_s000,21338,14238,0.001995564,1
51,10MultipleStronglyCorrelated,n00100_R01000_s000,43316,29016,1.060763836,1
52,10MultipleStronglyCorrelated,n00200_R01000_s000,81658,51558,16.65968347,1
53,10MultipleStronglyCorrelated,n00500_R01000_s000,203778,127278,180.0701017,0
54,10MultipleStronglyCorrelated,n01000_R01000_s000,399170,245970,180.0571582,0
55,11ProfitCeiling,n00050_R01000_s000,14229,14238,1.110484123,1
56,11ProfitCeiling,n00100_R01000_s000,29001,29015,72.6412034,1
57,11ProfitCeiling,n00200_R01000_s000,51540,51562,180.0483651,0
58,11ProfitCeiling,n00500_R01000_s000,127239,127277,180.047385,0
59,11ProfitCeiling,n01000_R01000_s000,245877,245972,180.0375595,0
60,12Circle,n00050_R01000_s000,300031,14239,0.498035431,1
61,12Circle,n00100_R01000_s000,611418,29017,0.143263102,1
62,12Circle,n00200_R01000_s000,1086483,51563,180.0654385,0
63,12Circle,n00500_R01000_s000,2681868,127278,180.0524693,0
64,12Circle,n01000_R01000_s000,5182856,245972,0.005984068,1
